124554051625,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/tenants/domain/dto/create-tenant.dto.ts::program:CreateTenantDto:<init>,,,2,,src/shared/context/tenants/domain/dto/create-tenant.dto.ts::program:CreateTenantDto:<init>
124554051626,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/tenants/domain/dto/find-tenant.dto.ts::program:FindTenantDto:<init>,,,2,,src/shared/context/tenants/domain/dto/find-tenant.dto.ts::program:FindTenantDto:<init>
124554051627,METHOD_REF,2,,constructor() {},7,,1,src/shared/context/tenants/domain/dto/tenant.dto.ts::program:TenantDto:<init>,,,2,,src/shared/context/tenants/domain/dto/tenant.dto.ts::program:TenantDto:<init>
124554051628,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/tenants/domain/dto/update-tenant.dto.ts::program:UpdateTenantDto:<init>,,,2,,src/shared/context/tenants/domain/dto/update-tenant.dto.ts::program:UpdateTenantDto:<init>
124554051629,METHOD_REF,1,,<lambda>0,79,,127,src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:findByMany:<lambda>0,,,3,,src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:findByMany:<lambda>0
124554051630,METHOD_REF,1,,<lambda>1,76,,131,src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:findByMany:<lambda>1,,,3,,src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:findByMany:<lambda>1
124554051631,METHOD_REF,2,,"constructor(
    @InjectRepository(Tenant, dbConfig.name)
    private readonly tenantRepository: Repository<Tenant>,
  ) {}",0,,10,src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:<init>,,,2,,src/shared/context/tenants/domain/tenants.service.ts::program:TenantsService:<init>
124554051632,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/user-role-by-tenants/dto/create-user-role-by-tenants.dto.ts::program:CreateUserRoleByTenantsDto:<init>,,,2,,src/shared/context/user-role-by-tenants/dto/create-user-role-by-tenants.dto.ts::program:CreateUserRoleByTenantsDto:<init>
124554051633,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/user-role-by-tenants/dto/find-user-role-by-tenants.dto.ts::program:FindUserRoleByTenantsDto:<init>,,,2,,src/shared/context/user-role-by-tenants/dto/find-user-role-by-tenants.dto.ts::program:FindUserRoleByTenantsDto:<init>
124554051634,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/user-role-by-tenants/dto/update-user-role-by-tenants.dto.ts::program:UpdateUserRoleByTenantsDto:<init>,,,2,,src/shared/context/user-role-by-tenants/dto/update-user-role-by-tenants.dto.ts::program:UpdateUserRoleByTenantsDto:<init>
124554051635,METHOD_REF,2,,constructor() {},7,,1,src/shared/context/user-role-by-tenants/dto/user-role-by-tenants.dto.ts::program:UserRoleByTenantsDto:<init>,,,2,,src/shared/context/user-role-by-tenants/dto/user-role-by-tenants.dto.ts::program:UserRoleByTenantsDto:<init>
124554051636,METHOD_REF,1,,<lambda>0,23,,22,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>0,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>0
124554051637,METHOD_REF,1,,<lambda>1,23,,25,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>1,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>1
124554051638,METHOD_REF,1,,<lambda>2,23,,28,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>2,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>2
124554051639,METHOD_REF,1,,<lambda>3,23,,31,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>3,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>:<lambda>3
124554051640,METHOD_REF,1,,<lambda>4,54,,76,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:create:<lambda>4,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:create:<lambda>4
124554051641,METHOD_REF,1,,<lambda>5,54,,208,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:update:<lambda>5,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:update:<lambda>5
124554051642,METHOD_REF,1,,<lambda>6,44,,243,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:update:<lambda>6,,,3,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:update:<lambda>6
124554051643,METHOD_REF,2,,"constructor(
    @InjectRepository(UserRoleByTenants, dbConfig.name)
    private readonly userRoleByTenantsRepository: Repository<UserRoleByTenants>,

    @Inject(forwardRef(() => UsersService))
    private readonly usersService: UsersService,

    @Inject(forwardRef(() => TenantsService))
    private readonly tenantsService: TenantsService,

    @Inject(forwardRef(() => RolesService))
    private readonly rolesService: RolesService,

    @Inject(forwardRef(() => RoleAliasesService))
    private readonly roleAliasService: RoleAliasesService,
  ) {}",0,,14,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>,,,2,,src/shared/context/user-role-by-tenants/user-role-by-tenants.service.ts::program:UserRoleByTenantsService:<init>
124554051644,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/users/domain/dto/create-user.dto.ts::program:CreateUserDto:<init>,,,2,,src/shared/context/users/domain/dto/create-user.dto.ts::program:CreateUserDto:<init>
124554051645,METHOD_REF,2,,constructor() {},7,,5,src/shared/context/users/domain/dto/find-user.dto.ts::program:FindUserDto:<init>,,,2,,src/shared/context/users/domain/dto/find-user.dto.ts::program:FindUserDto:<init>
124554051646,METHOD_REF,2,,constructor() {},7,,6,src/shared/context/users/domain/dto/update-user.dto.ts::program:UpdateUserDto:<init>,,,2,,src/shared/context/users/domain/dto/update-user.dto.ts::program:UpdateUserDto:<init>
124554051647,METHOD_REF,2,,constructor() {},7,,3,src/shared/context/users/domain/dto/user.dto.ts::program:UserDto:<init>,,,2,,src/shared/context/users/domain/dto/user.dto.ts::program:UserDto:<init>
124554051648,METHOD_REF,1,,<lambda>0,79,,65,src/shared/context/users/domain/user-verification.service.ts::program:UserVerificationService:sendVerificationEmail:<lambda>0,,,3,,src/shared/context/users/domain/user-verification.service.ts::program:UserVerificationService:sendVerificationEmail:<lambda>0
124554051649,METHOD_REF,2,,"constructor(
    @InjectRepository(User, dbConfig.name)
    private readonly userRepository: Repository<User>,
    private readonly tenantService: TenantsService,
    private readonly emailProvider: EmailProvider,
  ) {}",0,,12,src/shared/context/users/domain/user-verification.service.ts::program:UserVerificationService:<init>,,,2,,src/shared/context/users/domain/user-verification.service.ts::program:UserVerificationService:<init>
124554051650,METHOD_REF,1,,<lambda>0,23,,38,src/shared/context/users/domain/users.service.ts::program:UsersService:<init>:<lambda>0,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:<init>:<lambda>0
124554051651,METHOD_REF,1,,<lambda>1,35,,224,src/shared/context/users/domain/users.service.ts::program:UsersService:findByMany:<lambda>1,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByMany:<lambda>1
124554051652,METHOD_REF,1,,<lambda>2,33,,230,src/shared/context/users/domain/users.service.ts::program:UsersService:findByMany:<lambda>2,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByMany:<lambda>2
124554051653,METHOD_REF,1,,<lambda>3,27,,236,src/shared/context/users/domain/users.service.ts::program:UsersService:findByMany:<lambda>3,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByMany:<lambda>3
124554051654,METHOD_REF,1,,<lambda>5,39,,390,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>4:<lambda>5,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>4:<lambda>5
124554051655,METHOD_REF,1,,<lambda>7,42,,393,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>6:<lambda>7,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>6:<lambda>7
124554051656,METHOD_REF,1,,<lambda>4,8,,390,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>4,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>4
124554051657,METHOD_REF,1,,<lambda>6,8,,393,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>6,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:update:<lambda>6
124554051658,METHOD_REF,1,,<lambda>10,75,,484,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>9:<lambda>10,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>9:<lambda>10
124554051659,METHOD_REF,1,,<lambda>8,27,,483,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>8,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>8
124554051660,METHOD_REF,1,,<lambda>9,37,,484,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>9,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>9
124554051661,METHOD_REF,1,,<lambda>11,27,,486,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>11,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:findByRecordTypeAccess:<lambda>11
124554051662,METHOD_REF,1,,<lambda>12,79,,516,src/shared/context/users/domain/users.service.ts::program:UsersService:resendVerification:<lambda>12,,,3,,src/shared/context/users/domain/users.service.ts::program:UsersService:resendVerification:<lambda>12
124554051663,METHOD_REF,2,,"constructor(
    @InjectRepository(User, dbConfig.name)
    private readonly userRepository: Repository<User>,
    @InjectRepository(Role, dbConfig.name)
    private readonly rolesRepository: Repository<Role>,
    //inject tenant service
    @Inject(forwardRef(() => TenantsService))
    private readonly tenantService: TenantsService,
    private readonly emailProvider: EmailProvider,
  ) {}",0,,30,src/shared/context/users/domain/users.service.ts::program:UsersService:<init>,,,2,,src/shared/context/users/domain/users.service.ts::program:UsersService:<init>
124554051664,METHOD_REF,2,,"constructor(method: 'POST' | 'GET' | 'PATCH' | 'PUT' | 'DELETE', headers?: object, body?: string) {
    this.body = body;
    this.headers = headers;
    this.method = method;
  }",7,,1,src/shared/dataTypes/Options.ts::program:Options:<init>,,,2,,src/shared/dataTypes/Options.ts::program:Options:<init>
124554051665,METHOD_REF,2,,<lambda>0,17,,15,src/shared/infrastructure/logger/pinoLoggerOptions.ts::program:customProps,,,2,,src/shared/infrastructure/logger/pinoLoggerOptions.ts::program:<lambda>0
124554051666,METHOD_REF,2,,<lambda>1,11,,21,src/shared/infrastructure/logger/pinoLoggerOptions.ts::program:req,,,2,,src/shared/infrastructure/logger/pinoLoggerOptions.ts::program:<lambda>1
124554051667,METHOD_REF,2,,<lambda>2,11,,24,src/shared/infrastructure/logger/pinoLoggerOptions.ts::program:res,,,2,,src/shared/infrastructure/logger/pinoLoggerOptions.ts::program:<lambda>2
124554051668,METHOD_REF,2,,"constructor() {
    this.region = process.env.AWS_REGION;
    this.ses = new SES({ credentials: fromInstanceMetadata(), region: this.region });
  }",0,,6,src/shared/infrastructure/mails/mailProvider.ts::program:EmailProvider:<init>,,,2,,src/shared/infrastructure/mails/mailProvider.ts::program:EmailProvider:<init>
124554051669,METHOD_REF,2,,<lambda>0,40,,3,src/shared/infrastructure/mails/templates/mfaAlertTemplate.ts::program:generateMfaAlertTemplate,,,2,,src/shared/infrastructure/mails/templates/mfaAlertTemplate.ts::program:<lambda>0
124554051670,METHOD_REF,2,,<lambda>0,42,,3,src/shared/infrastructure/mails/templates/mfaSuccessTemplate.ts::program:generateMfaSuccessTemplate,,,2,,src/shared/infrastructure/mails/templates/mfaSuccessTemplate.ts::program:<lambda>0
124554051671,METHOD_REF,2,,<lambda>0,44,,3,src/shared/infrastructure/mails/templates/userConfirmationTemplate.ts::program:generateConfirmationTemplate,,,2,,src/shared/infrastructure/mails/templates/userConfirmationTemplate.ts::program:<lambda>0
