68719476814,IDENTIFIER,1,,CorrelationIdMiddleware,19,src/shared/middleware/correlation-id/correlation-id.middleware.ts::program:CorrelationIdMiddleware;CorrelationIdMiddleware,30,CorrelationIdMiddleware,,,3,CorrelationIdMiddleware,src/shared/middleware/correlation-id/correlation-id.middleware.ts::program:CorrelationIdMiddleware
68719476815,IDENTIFIER,0,,_tmp_4,4,,30,_tmp_4,,,2,,@nestjs/common:MiddlewareConsumer:apply:<returnValue>
68719476816,IDENTIFIER,1,,pinoOptions,0,,1,pinoOptions,,,1,,{ pinoHttp: { transport: { target: __ecma.String; options: { colorize: __ecma.Boolean; levelFirst: __ecma.Boolean; translateTime: __ecma.String; }; }; autoLogging: __ecma.Boolean; customProps: (req: Request) => { correlationId: Request; }; serializers: { req: () => ANY; res: () => ANY; }; }; }
68719476817,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",1,require,,,1,,ANY
68719476818,IDENTIFIER,0,,this,0,src/app.module.ts::program,1,this,,,2,,src/app.module.ts::program
68719476819,IDENTIFIER,1,,TypeOrmModule,0,,2,TypeOrmModule,,,1,,@nestjs/typeorm:TypeOrmModule
68719476820,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",2,require,,,1,,ANY
68719476821,IDENTIFIER,0,,this,0,src/app.module.ts::program,2,this,,,2,,src/app.module.ts::program
68719476822,IDENTIFIER,1,,appPostgresDataSource,0,,3,appPostgresDataSource,,,1,,TypeOrmModuleOptions
68719476823,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",3,require,,,1,,ANY
