94,ANNOTATION,-1,,@Body(),15,Body,14,Body,,,1
95,ANNOTATION,-1,,@Post(),2,Post,13,Post,,,5
96,ANNOTATION,-1,,@Post(),2,Post,13,Post,,,1
97,ANNOTATION,-1,,@Get(),2,Get,21,Get,,,4
98,ANNOTATION,-1,,@Get(),2,Get,21,Get,,,1
99,ANNOTATION,-1,,@Body(),17,Body,28,Body,,,1
100,ANNOTATION,-1,,@Post('/many'),2,Post,27,Post,,,5
101,ANNOTATION,-1,,@Post('/many'),2,Post,27,Post,,,1
102,ANNOTATION,-1,,@Param('id'),15,Param,36,Param,,,1
103,ANNOTATION,-1,,@Body(),40,Body,36,Body,,,1
104,ANNOTATION,-1,,@Patch(':id'),2,Patch,35,Patch,,,6
105,ANNOTATION,-1,,@Patch(':id'),2,Patch,35,Patch,,,1
106,ANNOTATION,-1,,@Param('id'),15,Param,44,Param,,,1
107,ANNOTATION,-1,,@Delete(':id'),2,Delete,43,Delete,,,5
108,ANNOTATION,-1,,@Delete(':id'),2,Delete,43,Delete,,,1
109,ANNOTATION,-1,,"@Module({
  imports: [
    TypeOrmModule.forFeature([UserRoleByTenants, Role, User, RoleAlias, Tenant, TenantRoleAliases], dbConfig.name),
  ],
  controllers: [UserRoleByTenantsController],
  providers: [
    UserRoleByTenantsService,
    UsersService,
    RolesService,
    RoleAliasesService,
    TenantsService,
    TenantRoleAliasesService,
    EmailProvider,
  ],
})",0,Module,14,Module,,,1
110,ANNOTATION,-1,,@ApiTags('users'),0,ApiTags,9,ApiTags,,,1
111,ANNOTATION,-1,,@Controller('users'),0,Controller,10,Controller,,,1
112,ANNOTATION,-1,,@Body(),15,Body,16,Body,,,1
113,ANNOTATION,-1,,@Headers('payload'),53,Headers,16,Headers,,,1
114,ANNOTATION,-1,,@Post(),2,Post,15,Post,,,6
115,ANNOTATION,-1,,@Post(),2,Post,15,Post,,,1
116,ANNOTATION,-1,,@Get(),2,Get,26,Get,,,4
117,ANNOTATION,-1,,@Get(),2,Get,26,Get,,,1
118,ANNOTATION,-1,,@Body(),17,Body,33,Body,,,1
119,ANNOTATION,-1,,@Post('many/'),2,Post,32,Post,,,5
120,ANNOTATION,-1,,@Post('many/'),2,Post,32,Post,,,1
121,ANNOTATION,-1,,@Param('id'),16,Param,39,Param,,,1
122,ANNOTATION,-1,,@Get(':id'),2,Get,38,Get,,,5
123,ANNOTATION,-1,,@Get(':id'),2,Get,38,Get,,,1
124,ANNOTATION,-1,,@Param('id'),15,Param,47,Param,,,1
125,ANNOTATION,-1,,@Body(),40,Body,47,Body,,,1
126,ANNOTATION,-1,,@Headers('payload'),78,Headers,47,Headers,,,1
127,ANNOTATION,-1,,@Patch(':id'),2,Patch,46,Patch,,,7
128,ANNOTATION,-1,,@Patch(':id'),2,Patch,46,Patch,,,1
129,ANNOTATION,-1,,@Param('id'),27,Param,57,Param,,,1
130,ANNOTATION,-1,,@Patch(':id/resend-verification'),2,Patch,56,Patch,,,5
131,ANNOTATION,-1,,@Patch(':id/resend-verification'),2,Patch,56,Patch,,,1
132,ANNOTATION,-1,,@Body('userId'),28,Body,65,Body,,,1
133,ANNOTATION,-1,,@Post('/mfa/attempt'),2,Post,64,Post,,,5
134,ANNOTATION,-1,,@Post('/mfa/attempt'),2,Post,64,Post,,,1
135,ANNOTATION,-1,,@Body('userId'),28,Body,70,Body,,,1
136,ANNOTATION,-1,,@Post('/mfa/success'),2,Post,69,Post,,,5
137,ANNOTATION,-1,,@Post('/mfa/success'),2,Post,69,Post,,,1
138,ANNOTATION,-1,,@Param('id'),15,Param,75,Param,,,1
139,ANNOTATION,-1,,@Headers('payload'),40,Headers,75,Headers,,,1
140,ANNOTATION,-1,,@Delete(':id'),2,Delete,74,Delete,,,6
